rank,filename,similarity,file
18,05-رثاء-خل-الصبا-ودموع-المراثي_SONG_B.mp3,0.8578068,/content/SUNO_BACKUP_11082026/ghayra_mujdin_19082026/05-رثاء-خل-الصبا-ودموع-المراثي_SONG_B.mp3
19,05-رثاء-خل-الصبا-ودموع-المراثي_SONG_A.mp3,0.85714066,/content/SUNO_BACKUP_11082026/ghayra_mujdin_19082026/05-رثاء-خل-الصبا-ودموع-المراثي_SONG_A.mp3
20,01-فجيعة-الفقد-وغصة-الوداع_SONG_C.mp3,0.85697925,/content/SUNO_BACKUP_11082026/amin_almanoon_19082026/01-فجيعة-الفقد-وغصة-الوداع_SONG_C.mp3
21,01-فجيعة-الفقد-وغصة-الوداع_SONG_A.mp3,0.8535471,/content/SUNO_BACKUP_11082026/amin_almanoon_19082026/01-فجيعة-الفقد-وغصة-الوداع_SONG_A.mp3
22,02-فلاة-التيه-وفاجعة-الظبية-وجؤذرها_SONG_B.mp3,0.85242224,/content/SUNO_BACKUP_11082026/nabigha_jaadi_21082026/02-فلاة-التيه-وفاجعة-الظبية-وجؤذرها_SONG_B.mp3
23,جساس بن مرة - تعدت تغلب - مقام حجاز_SONG_B.mp3,0.85174996,/content/SUNO_BACKUP_11082026/منوعات/جساس بن مرة - تعدت تغلب - مقام حجاز_SONG_B.mp3
24,08-نجدة-الظعائن-وعواصف-القتال_SONG_A.mp3,0.85170317,/content/SUNO_BACKUP_11082026/amrro_bin_kalthoum_11082026/08-نجدة-الظعائن-وعواصف-القتال_SONG_A.mp3
25,إني_ذكرتك_بالزهراء_ابن_زيدون_SONG_H.mp3,0.85025644,/content/SUNO_BACKUP_11082026/short-poems_16082026/إني_ذكرتك_بالزهراء_ابن_زيدون_SONG_H.mp3
26,04-ذروة-الوجد-ومناجاة-حمامة-العقيق_SONG_B.mp3,0.8497164,/content/SUNO_BACKUP_11082026/majnoon_layla_19082026/04-ذروة-الوجد-ومناجاة-حمامة-العقيق_SONG_B.mp3
27,04-عتاب-بني-مسمع-وتسيير-الثناء-ومكابدة-الفيافي_SONG_B.mp3,0.848119,/content/SUNO_BACKUP_11082026/aasha_ariqtu_21082026/04-عتاب-بني-مسمع-وتسيير-الثناء-ومكابدة-الفيافي_SONG_B.mp3
28,إني_ذكرتك_بالزهراء_ابن_زيدون_SONG_A.mp3,0.8452786,/content/SUNO_BACKUP_11082026/short-poems_16082026/إني_ذكرتك_بالزهراء_ابن_زيدون_SONG_A.mp3
29,01-الأطلال-وظعائن-خولة_SONG_D.mp3,0.8451005,/content/SUNO_BACKUP_11082026/tarafa_23072026/01-الأطلال-وظعائن-خولة_SONG_D.mp3
30,01-الديار-وعتاب-الرحيل_SONG_A.mp3,0.8433987,/content/SUNO_BACKUP_11082026/jarir_24072026/01-الديار-وعتاب-الرحيل_SONG_A.mp3
31,07-طلب-الأكفان-والوداع-التراجيدي-الأخير_SONG_A.mp3,0.8410973,/content/SUNO_BACKUP_11082026/majnoon_layla_19082026/07-طلب-الأكفان-والوداع-التراجيدي-الأخير_SONG_A.mp3
32,03-مشهد-الذئاب_SONG_B.mp3,0.840759,/content/SUNO_BACKUP_11082026/lamiyat_alshanfara_14082026/03-مشهد-الذئاب_SONG_B.mp3
33,01-ألم-الوجود-وعزة-النفس_SONG_A.mp3,0.84039235,/content/SUNO_BACKUP_11082026/almutanabi_kafa_bika_21082026/01-ألم-الوجود-وعزة-النفس_SONG_A.mp3
34,01-ألا-ليت-شعري-وذكرى-الغضى_SONG_B.mp3,0.84032774,/content/SUNO_BACKUP_11082026/malik_ibn_rayb_17082026/01-ألا-ليت-شعري-وذكرى-الغضى_SONG_B.mp3
35,04-ذروة-الوجد-ومناجاة-حمامة-العقيق_SONG_B.mp3,0.83908534,/content/SUNO_BACKUP_11082026/majnoon_layla_22082026/04-ذروة-الوجد-ومناجاة-حمامة-العقيق_SONG_B.mp3
36,02-غربة-الفاضل-ومرارة-الزمان-والجلد_SONG_A.mp3,0.8362464,/content/SUNO_BACKUP_11082026/sabeel_almajd_20082026/02-غربة-الفاضل-ومرارة-الزمان-والجلد_SONG_A.mp3
37,04-ذروة-الوجد-ومناجاة-حمامة-العقيق_SONG_A.mp3,0.83609545,/content/SUNO_BACKUP_11082026/majnoon_layla_19082026/04-ذروة-الوجد-ومناجاة-حمامة-العقيق_SONG_A.mp3
38,07-طلب-الأكفان-والوداع-التراجيدي-الأخير_SONG_A.mp3,0.8351712,/content/SUNO_BACKUP_11082026/majnoon_layla_22082026/07-طلب-الأكفان-والوداع-التراجيدي-الأخير_SONG_A.mp3
39,جساس بن مرة - تعدت تغلب - مقام الحجاز.mp3,0.83496964,/content/SUNO_BACKUP_11082026/منوعات/جساس بن مرة - تعدت تغلب - مقام الحجاز.mp3
40,01-أطلال-الجواء-وحب-عبلة-المستحيل_SONG_A.mp3,0.8340074,/content/SUNO_BACKUP_11082026/antara_mullaq_21072026/01-أطلال-الجواء-وحب-عبلة-المستحيل_SONG_A.mp3
41,01-خمرية-الأندرين-وحسرة-الفناء_RETAKE_SONG_A.mp3,0.83275855,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_23072026/01-خمرية-الأندرين-وحسرة-الفناء_RETAKE_SONG_A.mp3
42,إني_ذكرتك_بالزهراء_ابن_زيدون_SONG_E.mp3,0.83001983,/content/SUNO_BACKUP_11082026/short-poems_16082026/إني_ذكرتك_بالزهراء_ابن_زيدون_SONG_E.mp3
43,01-الديار-وعتاب-الرحيل_SONG_B.mp3,0.82927823,/content/SUNO_BACKUP_11082026/jarir_24072026/01-الديار-وعتاب-الرحيل_SONG_B.mp3
44,01-الوقوف-على-الأطلال-والذكرى_SONG_A.mp3,0.82913864,/content/SUNO_BACKUP_11082026/qais_24072026/01-الوقوف-على-الأطلال-والذكرى_SONG_A.mp3
45,02-استيقاف-الظعينة-ومفاتن-ليلى-ولوعة-الفراق_SONG_B.mp3,0.8264153,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_20082026/02-استيقاف-الظعينة-ومفاتن-ليلى-ولوعة-الفراق_SONG_B.mp3
46,07-تذكر-عبلة-تحت-ظلال-السيوف-وحومة-الموت_SONG_B.mp3,0.82462716,/content/SUNO_BACKUP_11082026/antara_13082026/07-تذكر-عبلة-تحت-ظلال-السيوف-وحومة-الموت_SONG_B.mp3
47,04-ذروة-الوجد-ومناجاة-حمامة-العقيق_SONG_A.mp3,0.8234971,/content/SUNO_BACKUP_11082026/majnoon_layla_22082026/04-ذروة-الوجد-ومناجاة-حمامة-العقيق_SONG_A.mp3
48,07-طلب-الأكفان-والوداع-التراجيدي-الأخير_SONG_B.mp3,0.82210934,/content/SUNO_BACKUP_11082026/majnoon_layla_19082026/07-طلب-الأكفان-والوداع-التراجيدي-الأخير_SONG_B.mp3
49,07-نزال-الكمي-ولمعان-السيوف-ببارق-الثغر_SONG_A.mp3,0.8209585,/content/SUNO_BACKUP_11082026/muallaqt_antra_21082026/07-نزال-الكمي-ولمعان-السيوف-ببارق-الثغر_SONG_A.mp3
50,01-ألم-الوجود-وعزة-النفس_SONG_B.mp3,0.8209558,/content/SUNO_BACKUP_11082026/almutanabi_kafa_bika_21082026/01-ألم-الوجود-وعزة-النفس_SONG_B.mp3
